period,type1_attendances,type2_attendances,type3_attendances,total_attendances,emerg_admissions_type1,emerg_admissions_type2,emerg_admissions_type3,total_emerg_admissions_ae,other_emerg_admissions,total_emerg_admissions,dtoa_over_4hr,dtoa_over_12hr,total_seen_4hr,type1_seen_4hr,type2_seen_4hr,type3_seen_4hr,total_breach_4hr,pct_4hr_all,pct_4hr_type1,pct_4hr_type2,pct_4hr_type3
2022-03-01,1421526.0,41910.0,711362.0,2174798.0,374562.0,1258.0,5728.0,381548.0,132707.0,514255.0,136298.0,22506.0,1388093.0,514135.0,1157.0,34481.0,549773.0,0.7162997854340806,0.5867194948048043,0.966501635831958,0.9477000362509537
2022-04-01,1312380.0,37898.0,678518.0,2028796.0,352982.0,1156.0,5793.0,359931.0,119848.0,479779.0,131604.0,24179.0,1311452.0,472636.0,1233.0,29879.0,503748.0,0.7224834728955487,0.5899043992982225,0.9616521008926072,0.9526140085164422
2022-05-01,1437421.0,41874.0,753758.0,2233053.0,377496.0,1276.0,6015.0,384787.0,132924.0,517711.0,125318.0,19657.0,1452388.0,503222.0,1182.0,37285.0,541689.0,0.7283510115206183,0.6005645192656487,0.966627138743012,0.9466462323954747
2022-06-01,1400664.0,40910.0,750117.0,2191691.0,366684.0,1265.0,5979.0,373928.0,129120.0,503048.0,130357.0,22017.0,1409139.0,506218.0,1130.0,39053.0,546401.0,0.7205881751332113,0.587388322901579,0.9674482917554877,0.9437246654360535
2022-07-01,1397083.0,39632.0,744940.0,2181655.0,362027.0,1198.0,6144.0,369369.0,127730.0,497099.0,135819.0,29139.0,1384730.0,524161.0,1138.0,38151.0,563450.0,0.7107813446396124,0.5714603399630294,0.9659678818146475,0.9448372488461672
2022-08-01,1299083.0,40802.0,655794.0,1995679.0,350562.0,1307.0,5219.0,357088.0,124921.0,482009.0,130148.0,28690.0,1274849.0,477571.0,1210.0,24691.0,503472.0,0.7168835097825421,0.5804373169902456,0.9649569926728258,0.9592243527602955
2022-09-01,1301611.0,40188.0,666690.0,2008489.0,353779.0,1325.0,5653.0,360757.0,126720.0,487477.0,131572.0,32762.0,1273698.0,492015.0,1986.0,24826.0,518827.0,0.7105608011045871,0.5689769208194445,0.9419060434095828,0.959752542823515
2022-10-01,1399185.0,41440.0,747403.0,2188028.0,367028.0,1411.0,6302.0,374741.0,132106.0,506847.0,150786.0,43793.0,1358170.0,554148.0,1583.0,39546.0,595277.0,0.6952684152679852,0.547996626377875,0.9548771449746308,0.9428842129283936
2022-11-01,1395183.0,42644.0,740977.0,2178804.0,368997.0,1558.0,6271.0,376826.0,138699.0,515525.0,143672.0,37853.0,1341019.0,555656.0,1352.0,45137.0,602145.0,0.690121369066121,0.5450484381243081,0.9626612168245464,0.9341645237841725
2022-12-01,1437681.0,36592.0,819806.0,2294079.0,378202.0,1359.0,6171.0,385732.0,131712.0,517444.0,170121.0,54573.0,1333914.0,633276.0,1065.0,77540.0,711881.0,0.652027207027097,0.4963683545421216,0.9656418363067394,0.8976206100248356
2023-01-01,1243898.0,42076.0,682364.0,1968338.0,364353.0,1464.0,5386.0,371203.0,137576.0,508779.0,142210.0,42767.0,1274038.0,457163.0,1452.0,24430.0,483045.0,0.7250869765400951,0.5803772871380553,0.9594175354258084,0.9613352705264924
2023-02-01,1206386.0,41717.0,666176.0,1914279.0,339726.0,1403.0,4993.0,346122.0,126734.0,472856.0,126947.0,34975.0,1220370.0,455902.0,1752.0,28638.0,486292.0,0.7150625021240292,0.5675661832357934,0.9504580929759077,0.9535871953946985
2023-03-01,1372403.0,46803.0,746745.0,2165951.0,381708.0,1461.0,5198.0,388367.0,143724.0,532091.0,144308.0,39687.0,1383326.0,517815.0,1376.0,31347.0,550538.0,0.7153171060633012,0.5682712758639952,0.9650752557171501,0.9549006856902797
2023-04-01,1271145.0,42632.0,720263.0,2034040.0,363625.0,1340.0,5150.0,370115.0,120358.0,490473.0,113083.0,26492.0,1353879.0,434469.0,1430.0,24889.0,460788.0,0.7460757262902781,0.609148115995484,0.9601981741260298,0.9626932116604511
2023-05-01,1400815.0,45826.0,799278.0,2245919.0,388202.0,1338.0,5548.0,395088.0,133847.0,528935.0,122427.0,31498.0,1481444.0,485602.0,1629.0,33062.0,520293.0,0.740079241179036,0.6038802607396869,0.9580996964864448,0.9551374426361197
2023-06-01,1389009.0,46196.0,790521.0,2225726.0,381815.0,1403.0,4754.0,387972.0,134751.0,522723.0,113791.0,26488.0,1633255.0,553299.0,1904.0,37268.0,592471.0,0.7338077553121992,0.6016591685151068,0.9587843103298987,0.9528564073566673
2023-07-01,1379854.0,45513.0,774420.0,2199787.0,391312.0,1383.0,7719.0,400414.0,134268.0,534682.0,108240.0,23396.0,1628514.0,539374.0,1849.0,30050.0,571273.0,0.7403053113778744,0.6091079201132873,0.9593742447212884,0.9611967666124326
2023-08-01,1323647.0,43923.0,742291.0,2109861.0,384233.0,1403.0,4206.0,389842.0,134039.0,523881.0,118962.0,27710.0,1540843.0,541452.0,1557.0,26009.0,569018.0,0.7303054561414235,0.5909392761060918,0.9645516016665528,0.9649611809923602
2023-09-01,1369045.0,42631.0,758370.0,2170046.0,383234.0,1325.0,4372.0,388931.0,132297.0,521228.0,124956.0,32228.0,1555893.0,579854.0,1744.0,32555.0,614153.0,0.7169861837030183,0.5764536593026526,0.9590908024676879,0.9570724052902937
2023-10-01,1413597.0,44769.0,765954.0,2224320.0,401524.0,1431.0,4386.0,407341.0,139530.0,546871.0,143850.0,43534.0,1564021.0,623856.0,1905.0,34538.0,660299.0,0.7031456804776292,0.5586747849634656,0.9574482342692489,0.9549085193105591
2023-11-01,1386008.0,42365.0,739211.0,2167584.0,396755.0,1452.0,4319.0,402526.0,142117.0,544643.0,145934.0,42503.0,1513384.0,618552.0,1888.0,33760.0,654200.0,0.6981893204600145,0.5537168616631362,0.9554349108934261,0.9543296839468027
2023-12-01,1384220.0,39282.0,761416.0,2184918.0,406833.0,1327.0,4164.0,412324.0,133819.0,546143.0,148105.0,43858.0,1518656.0,627378.0,1571.0,37313.0,666262.0,0.6950631556882226,0.546764242678187,0.9600071279466422,0.9509952509534867
2024-01-01,1397975.0,42835.0,790015.0,2230825.0,403208.0,1399.0,4561.0,409168.0,147086.0,556254.0,158735.0,54312.0,1569718.0,622977.0,1736.0,36394.0,661107.0,0.7036490984277117,0.5543718592964824,0.9594723940702696,0.9539325202686025
2024-02-01,1347642.0,43868.0,766312.0,2157822.0,382132.0,1465.0,4231.0,387828.0,139515.0,527343.0,139467.0,44420.0,1531890.0,586821.0,2383.0,36728.0,625932.0,0.7099241735416545,0.5645572043613957,0.9456779429196681,0.952071741014104
2024-03-01,1462878.0,48922.0,858421.0,2370221.0,420025.0,1515.0,4614.0,426154.0,141302.0,567456.0,140195.0,42972.0,1762147.0,571987.0,1934.0,34153.0,608074.0,0.7434526147561767,0.6089988365400258,0.9604676832508892,0.9602141606507762
2024-04-01,1372028.0,51495.0,817145.0,2240668.0,398116.0,1442.0,4376.0,403934.0,140179.0,544113.0,134344.0,42078.0,1668983.0,542955.0,1878.0,26852.0,571685.0,0.7448595686643448,0.6042682802391788,0.9635304398485289,0.9671392470124641
2024-05-01,1472721.0,51246.0,892325.0,2416292.0,414156.0,1490.0,4558.0,420204.0,144489.0,564693.0,138770.0,42555.0,1787107.0,593795.0,2037.0,33353.0,629185.0,0.7396072163463687,0.5968041468818601,0.9602505561409671,0.9626223629283053
2024-06-01,1405658.0,49382.0,839025.0,2294065.0,396204.0,1406.0,4445.0,402055.0,134829.0,536884.0,128114.0,38106.0,1711109.0,555053.0,1854.0,26049.0,582956.0,0.7458851427487887,0.605129412702094,0.9624559556113563,0.9689532493072316
2024-07-01,1425569.0,51499.0,847764.0,2324832.0,405655.0,1479.0,4648.0,411782.0,140686.0,552468.0,129330.0,36806.0,1748671.0,550900.0,1824.0,23437.0,576161.0,0.7521709095538947,0.6135578144586478,0.9645818365405153,0.9723543344610056
2024-08-01,1320157.0,48387.0,792247.0,2160791.0,390554.0,1300.0,4661.0,396515.0,129118.0,525633.0,116489.0,28494.0,1649407.0,494499.0,1560.0,15325.0,511384.0,0.7633348158151344,0.6254240972853986,0.967759935519871,0.9806562852241788
2024-09-01,1364482.0,48534.0,801201.0,2214217.0,393406.0,1323.0,4677.0,399406.0,131418.0,530824.0,130632.0,38880.0,1643329.0,548522.0,2173.0,20193.0,570888.0,0.7421716119061501,0.5979998270405912,0.955227263361767,0.9747965866243302
2024-10-01,1453242.0,49717.0,857577.0,2360536.0,415893.0,1327.0,4828.0,422048.0,145400.0,567448.0,148788.0,49616.0,1725194.0,609113.0,2183.0,24046.0,635342.0,0.7308484174780643,0.580859209959525,0.956091477764145,0.9719605353221926
2024-11-01,1428050.0,47263.0,839685.0,2314998.0,407955.0,1267.0,4887.0,414109.0,138052.0,552161.0,140782.0,45791.0,1671002.0,614322.0,2016.0,27658.0,643996.0,0.7218157423894103,0.5698175834179475,0.9573450690815225,0.9670614575703984
2024-12-01,1440311.0,44041.0,861582.0,2345934.0,411161.0,1239.0,4667.0,417067.0,135525.0,552592.0,154689.0,54207.0,1668461.0,643382.0,1556.0,32535.0,677473.0,0.7112139557208345,0.5533034184978105,0.9646692854385686,0.9622380690404395
2025-01-01,1359026.0,49486.0,809618.0,2218130.0,400481.0,1353.0,4394.0,406228.0,142547.0,548775.0,159582.0,61529.0,1619384.0,574638.0,1925.0,22183.0,598746.0,0.7300672187833896,0.5771692373803003,0.9611001091217718,0.9726006585821956
2025-02-01,1271336.0,45682.0,771053.0,2088071.0,362605.0,1252.0,3721.0,367578.0,128517.0,496095.0,131237.0,47623.0,1533925.0,529502.0,1881.0,22763.0,554146.0,0.7346134302904451,0.5835074284060233,0.958824044481415,0.9704780345838743
2025-03-01,1450686.0,51237.0,887141.0,2389064.0,404354.0,1366.0,4569.0,410289.0,140840.0,551129.0,133957.0,46766.0,1791316.0,566995.0,2308.0,28445.0,597748.0,0.7497982473470782,0.6091538761661724,0.9549544274645276,0.9679363257926304
2025-04-01,1388613.0,49738.0,859070.0,2297421.0,390648.0,1418.0,4226.0,396292.0,131938.0,528230.0,131856.0,44648.0,1718099.0,552458.0,2269.0,24595.0,579322.0,0.7478381193520909,0.602151211316616,0.9543809562105432,0.9713702026610171
2025-05-01,1453480.0,50919.0,893130.0,2397529.0,403026.0,1440.0,5060.0,409526.0,135602.0,545128.0,130035.0,42891.0,1807794.0,563803.0,2297.0,23635.0,589735.0,0.7540238303686838,0.6121013017034979,0.9548891376499932,0.9735368871272939
2025-06-01,1428563.0,51618.0,871400.0,2351581.0,395628.0,1389.0,4863.0,401880.0,134061.0,535941.0,118171.0,38683.0,1776772.0,546871.0,2043.0,25895.0,574809.0,0.7555648731640543,0.6171880414094443,0.9604207834476346,0.9702834519164563
2025-07-01,1469050.0,52989.0,886827.0,2408866.0,412893.0,1443.0,5115.0,419451.0,139941.0,559392.0,115542.0,35467.0,1840562.0,542160.0,2430.0,23714.0,568304.0,0.7640782011120585,0.6309451686464042,0.9541414255788937,0.973259722583999
2025-08-01,1383870.0,49084.0,833983.0,2266937.0,394548.0,1261.0,5111.0,400920.0,125479.0,526399.0,115826.0,35909.0,1720066.0,525542.0,2273.0,19056.0,546871.0,0.7587621535137501,0.6202374500494988,0.9536916306739467,0.9771506133818075
2025-09-01,1417440.0,50733.0,842049.0,2310222.0,395054.0,1343.0,5349.0,401746.0,133834.0,535580.0,129004.0,44765.0,1733831.0,551664.0,2151.0,22576.0,576391.0,0.7505040641115875,0.6108025736539113,0.9576015611140678,0.9731892087040065
2025-10-01,1481222.0,54756.0,865288.0,2401266.0,406141.0,1364.0,5511.0,413016.0,140483.0,553499.0,142746.0,54326.0,1781392.0,590612.0,2900.0,26362.0,619874.0,0.7418553379758844,0.6012670619258963,0.9470377675505881,0.9695338430672793
2025-11-01,1450144.0,49725.0,847177.0,2347046.0,390459.0,1314.0,4971.0,396744.0,135003.0,531747.0,133799.0,50648.0,1741906.0,575050.0,2475.0,27615.0,605140.0,0.7421695186204276,0.6034531743054483,0.9502262443438914,0.9674035059969759
2025-12-01,1438207.0,47522.0,840410.0,2326139.0,399039.0,1312.0,5020.0,405371.0,136817.0,542188.0,137777.0,50789.0,1717664.0,580693.0,2040.0,25742.0,608475.0,0.7384184694035911,0.5962382327439653,0.9570725137830899,0.9693697124022799
2026-01-01,1434757.0,50710.0,833829.0,2319296.0,395611.0,1399.0,4932.0,401942.0,144194.0,546136.0,161141.0,71517.0,1680358.0,612375.0,2484.0,24079.0,638938.0,0.724512093324871,0.5731855638271847,0.9510155787813055,0.971122376410511
2026-02-01,1298005.0,48233.0,771212.0,2117450.0,355598.0,1281.0,5051.0,361930.0,131085.0,493015.0,132238.0,54649.0,1568084.0,527236.0,1949.0,20181.0,549366.0,0.7405530236841484,0.5938105015003794,0.959591980594199,0.9738320980482669
2026-03-01,1478144.0,55393.0,898735.0,2432272.0,402356.0,1423.0,6226.0,410005.0,143887.0,553892.0,123870.0,46665.0,1875561.0,530779.0,2064.0,23868.0,556711.0,0.7711148259734109,0.6409152288275026,0.9627389742386222,0.9734426722003705
2026-04-01,1430825.0,52714.0,861790.0,2345329.0,386257.0,1441.0,5107.0,392805.0,132855.0,525660.0,122616.0,47750.0,1803787.0,517598.0,2308.0,21636.0,541542.0,0.7690976404589719,0.6382520573794839,0.9562165648594302,0.9748941157358522
